Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade
2596,51,3,258,0,510,6279,29,1,200.33333333333334
2590,56,2,212,-6,390,6225,29,1,202.0
2804,139,9,268,65,3180,6121,12,1,202.33333333333334
2785,155,18,242,118,3090,6211,30,1,199.33333333333334
2595,45,2,153,-1,391,6172,29,1,201.33333333333334
2579,132,6,300,-15,67,6031,29,1,202.33333333333334
2606,45,7,270,5,633,6256,29,1,195.0
2605,49,4,234,7,573,6228,29,1,198.66666666666666
2617,45,9,240,56,666,6244,29,1,192.33333333333334
2612,59,10,247,11,636,6230,29,1,190.33333333333334
2612,201,4,180,51,735,6222,18,1,207.33333333333334
2886,151,11,371,26,5253,4051,30,1,203.33333333333334
2742,134,22,150,69,3215,6091,30,1,188.0
2609,214,7,150,46,771,6211,18,1,210.0
2503,157,4,67,4,674,5600,18,1,205.0
2495,51,7,42,2,752,5576,16,1,195.33333333333334
2610,259,1,120,-1,607,6096,29,1,205.33333333333334
2517,72,7,85,6,595,5607,18,1,196.0
2504,0,4,95,5,691,5572,18,1,200.66666666666666
2503,38,5,85,10,741,5555,18,1,197.33333333333334
2501,71,9,60,8,767,5547,18,1,193.0
2880,209,17,216,30,4986,4323,30,1,212.66666666666666
2768,114,23,192,82,3339,5972,30,1,177.33333333333334
2511,54,8,124,0,638,5569,18,1,192.33333333333334
2507,22,9,120,14,732,5534,18,1,193.0
2492,135,6,0,0,860,5494,18,1,202.66666666666666
2489,163,10,30,-4,849,5486,18,1,206.0
2962,148,16,323,23,5916,3395,29,1,198.66666666666666
2811,135,1,212,30,3670,5643,12,1,204.0
2739,117,24,127,53,3281,6033,30,1,178.0
2703,122,30,67,27,3191,6123,30,1,169.0
2522,105,7,120,1,595,5569,18,1,198.0
2519,102,6,124,4,616,5559,18,1,200.0
2516,23,6,150,4,658,5541,18,1,196.66666666666666
2515,41,9,162,4,680,5532,18,1,191.33333333333334
2900,45,19,242,20,5199,4115,29,1,172.0
2709,125,28,67,23,3224,6094,30,1,173.66666666666666
2511,92,7,182,18,722,5494,18,1,197.0
2749,98,30,124,53,3316,6005,30,1,157.0
2686,354,12,0,0,3167,6155,30,1,192.0
2699,347,3,0,0,2096,6853,20,1,202.0
2570,346,2,0,0,331,5745,29,1,202.66666666666666
2533,71,9,150,-3,577,5552,18,1,193.0
2703,330,27,30,17,3141,6186,16,1,175.66666666666666
2678,128,5,95,23,1660,6546,12,1,202.0
2529,68,8,210,-5,666,5484,18,1,194.33333333333334
2524,94,7,212,-4,684,5474,18,1,197.0
2536,99,6,234,0,659,5475,18,1,199.33333333333334
2498,66,6,95,7,900,5357,18,1,196.33333333333334
2489,100,7,85,13,810,5334,18,1,198.0
2713,117,30,60,17,3297,6039,30,1,166.66666666666666
2739,323,25,85,43,3118,6219,29,1,182.0
2696,72,2,30,0,3271,6071,30,1,201.66666666666666
2510,79,14,192,19,891,5325,18,1,186.0
2502,81,7,175,11,912,5316,18,1,195.33333333333334
