Elevation,Aspect,Slope,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade,Total_Distance_to_Hydrology
2596,51,3,510,6279,29,1,200.33333333333331,258.0
2590,56,2,390,6225,29,1,202.0,212.08488866489287
2804,139,9,3180,6121,12,1,202.33333333333331,275.7698315624826
2785,155,18,3090,6211,30,1,199.33333333333331,269.23595599399425
2595,45,2,391,6172,29,1,201.33333333333331,153.00326793895613
2579,132,6,67,6031,29,1,202.33333333333331,300.3747659175118
2606,45,7,633,6256,29,1,195.0,270.04629232781554
2605,49,4,573,6228,29,1,198.66666666666663,234.10467744152402
2617,45,9,666,6244,29,1,192.33333333333331,246.4467488119898
2612,59,10,636,6230,29,1,190.33333333333331,247.24481794367298
2612,201,4,735,6222,18,1,207.33333333333331,187.0855419320264
2886,151,11,5253,4051,30,1,203.33333333333331,371.9099353338117
2742,134,22,3215,6091,30,1,188.0,165.10905486980417
2609,214,7,771,6211,18,1,210.0,156.8948692596415
2503,157,4,674,5600,18,1,205.0,67.11929677819934
2495,51,7,752,5576,16,1,195.33333333333331,42.04759208325728
2610,259,1,607,6096,29,1,205.33333333333331,120.00416659433121
2517,72,7,595,5607,18,1,196.0,85.21150157109074
2504,0,4,691,5572,18,1,200.66666666666663,95.13148795220224
2503,38,5,741,5555,18,1,197.33333333333331,85.58621384311844
2501,71,9,767,5547,18,1,193.0,60.530983801686226
2880,209,17,4986,4323,30,1,212.66666666666663,218.07338214463496
2768,114,23,3339,5972,30,1,177.33333333333337,208.7773934122179
2511,54,8,638,5569,18,1,192.33333333333331,124.0
2507,22,9,732,5534,18,1,193.0,120.81390648431164
2492,135,6,860,5494,18,1,202.66666666666663,0.0
2489,163,10,849,5486,18,1,206.0,30.265491900843113
2962,148,16,5916,3395,29,1,198.66666666666663,323.81785003300854
2811,135,1,3670,5643,12,1,204.0,214.11212016137713
2739,117,24,3281,6033,30,1,178.0,137.6154061142865
2703,122,30,3191,6123,30,1,169.0,72.2357252334328
2522,105,7,595,5569,18,1,198.0,120.00416659433121
2519,102,6,616,5559,18,1,200.0,124.06449935416659
2516,23,6,658,5541,18,1,196.66666666666663,150.05332385522155
2515,41,9,680,5532,18,1,191.33333333333331,162.04937519163718
2900,45,19,5199,4115,29,1,172.0,242.82503989498284
2709,125,28,3224,6094,30,1,173.66666666666663,70.83784299369935
2511,92,7,722,5494,18,1,197.0,182.8879438344693
2749,98,30,3316,6005,30,1,157.0,134.8517704741024
2686,354,12,3167,6155,30,1,192.0,0.0
2699,347,3,2096,6853,20,1,202.0,0.0
2570,346,2,331,5745,29,1,202.66666666666663,0.0
2533,71,9,577,5552,18,1,193.0,150.02999700059985
2703,330,27,3141,6186,16,1,175.66666666666663,34.48187929913333
2678,128,5,1660,6546,12,1,202.0,97.74456506629922
2529,68,8,666,5484,18,1,194.33333333333331,210.05951537600004
2524,94,7,684,5474,18,1,197.0,212.03773249117714
2536,99,6,659,5475,18,1,199.33333333333331,234.0
2498,66,6,900,5357,18,1,196.33333333333331,95.25754563287887
2489,100,7,810,5334,18,1,198.0,85.98837130682264
2713,117,30,3297,6039,30,1,166.66666666666666,62.36184731067546
2739,323,25,3118,6219,29,1,182.0,95.25754563287887
2696,72,2,3271,6071,30,1,201.66666666666663,30.0
2510,79,14,891,5325,18,1,186.0,192.93781381574738
2502,81,7,912,5316,18,1,195.33333333333331,175.34537347760278
2722,315,24,3216,6132,16,1,186.66666666666663,35.510561809129406
2500,74,11,930,5279,18,1,189.33333333333331,190.21303845951255
2486,68,5,870,5262,18,1,198.0,180.0444389588304
2489,11,4,840,5254,18,1,200.33333333333331,175.4821928287882
2489,42,6,810,5247,18,1,196.33333333333331,162.5207679036744
2490,75,5,810,5218,18,1,198.0,135.07405376311175
2952,107,11,5845,3509,29,1,193.66666666666663,42.579337712087536
2705,90,8,2023,6615,12,1,196.33333333333331,135.79396157414365
2507,40,7,930,5221,18,1,194.33333333333331,153.32644912082193
2500,49,14,870,5205,18,1,183.66666666666663,152.41062955056645
2493,63,10,840,5197,18,1,191.33333333333331,128.56515857727553
2509,59,7,900,5184,18,1,195.33333333333331,134.3726162579266
2919,13,13,5321,4060,29,1,187.66666666666663,90.19977827023745
2740,54,6,2287,6686,12,1,196.33333333333331,222.00900882621858
2640,80,8,1092,5866,29,1,194.33333333333331,180.01111076819674
2843,166,12,4434,4956,30,1,206.0,247.7357463104588
3008,45,14,6371,3036,29,1,182.33333333333331,277.18044664081197
2893,114,16,5066,4340,29,1,190.0,112.08925015361643
2850,6,9,4858,4548,16,1,194.66666666666663,0.0
2628,30,10,960,5645,29,1,190.33333333333331,240.75090861718465
2864,118,18,4567,4849,30,1,187.33333333333331,214.18916872708573
2827,160,28,3948,5474,30,1,192.0,148.93287078412206
2529,326,5,1062,5047,16,1,202.33333333333331,33.1058907144937
2808,99,7,3107,6341,12,1,197.66666666666663,393.6356183070836
2840,153,26,4613,4833,30,1,191.33333333333331,140.42791745233566
2795,79,10,2980,6497,20,1,192.33333333333331,539.6081911906082
2746,143,16,2440,6597,12,1,198.33333333333331,70.51950084905593
2847,352,26,3697,5796,29,1,168.33333333333334,170.95028517086482
2840,14,14,3552,5944,12,1,185.33333333333331,233.23807579381202
2537,42,7,1132,4919,18,1,194.33333333333331,210.68697159530296
2860,358,17,3705,5800,29,1,182.66666666666663,200.57168294652163
2818,332,26,4526,4978,29,1,176.33333333333337,34.48187929913333
2801,18,7,3084,6457,12,1,196.33333333333331,562.9955594851526
2791,63,10,2942,6606,12,1,191.33333333333331,420.7469548315234
2745,306,11,2416,6428,29,1,202.66666666666663,71.16881339463234
2514,102,6,1082,4811,18,1,200.0,272.04595200076034
2788,13,16,4126,5396,29,1,182.0,31.04834939252005
2562,354,12,1057,5031,30,1,191.33333333333331,67.60177512462228
3073,173,12,6836,2735,29,1,207.33333333333331,108.04165863221463
2978,71,10,5742,3792,29,1,191.0,434.3972836010833
2860,31,10,3644,5904,12,1,190.33333333333331,310.85205484281425
3067,164,11,6811,2774,29,1,205.66666666666663,85.28774824088158
2804,72,5,3115,6471,12,1,199.0,546.4155927496945
2562,59,3,1116,5091,16,1,200.66666666666663,0.0
2567,34,9,1136,4924,18,1,192.66666666666663,190.67249408344142
2998,45,8,5842,3721,29,1,193.0,351.3644831225831
2684,84,12,1677,5693,29,1,190.0,150.0133327407934
2676,42,11,1634,5655,29,1,188.66666666666663,150.08331019803634
2863,102,15,4389,5184,29,1,187.66666666666663,202.8324431643025
2574,170,5,1180,4910,18,1,206.33333333333331,171.5488268686207
2511,211,6,1071,4660,18,1,209.0,164.75436261295178
3067,32,4,6679,2947,20,1,198.66666666666663,30.066592756745816
2909,57,16,5502,4084,29,1,178.0,135.95955280891445
2863,348,14,3918,5695,29,1,190.0,321.5618136533006
2567,333,1,1266,5079,16,1,203.66666666666663,0.0
3182,105,11,6000,1184,29,1,193.66666666666663,409.332383277942
2818,324,12,4156,5467,16,1,197.66666666666663,243.39268682522078
2752,332,6,2372,6131,12,1,201.66666666666663,342.8410710518797
2751,88,5,2322,6088,12,1,198.66666666666663,401.1234224026316
2569,102,7,1266,4844,18,1,198.33333333333331,228.70942263055102
3195,111,15,5941,1206,29,1,189.33333333333331,471.25046419075284
2982,53,14,5756,3880,29,1,182.66666666666663,248.13101378102658
2850,58,6,4394,5239,29,1,196.33333333333331,300.647634283059
2586,76,4,1290,4875,18,1,200.0,192.35384061671346
2837,17,13,4241,5428,29,1,185.66666666666663,333.0540496676178
2723,99,6,2109,5793,12,1,199.33333333333331,302.914179265349
3070,0,11,6890,2858,29,1,192.33333333333331,30.59411708155671
3057,124,12,6508,3211,29,1,196.33333333333331,159.08802594790095
2818,119,19,5213,4497,29,1,186.66666666666663,31.622776601683793
2847,320,33,4983,4727,29,1,169.66666666666666,93.5200513259055
2606,112,11,1584,5106,16,1,195.33333333333331,30.265491900843113
2893,83,6,4011,5755,12,1,198.0,560.180328108726
2716,1,10,2100,5581,12,1,193.66666666666663,235.55254190944322
2644,125,20,1719,5168,29,1,186.66666666666663,71.5122367151245
2613,37,5,1519,4818,12,1,198.33333333333331,218.65955272980872
2929,356,12,5757,4017,24,1,191.66666666666663,0.0
2767,307,12,2796,6192,29,1,202.0,31.04834939252005
2991,49,13,6199,3613,24,1,184.33333333333331,85.0
2939,56,18,5563,4224,24,1,175.66666666666663,97.082439194738
2537,7,12,1583,4509,16,1,189.66666666666663,0.0
3119,119,7,6660,2556,29,1,200.0,162.30834852218786
2942,346,12,5918,3900,24,1,193.33333333333331,30.14962686336267
2886,12,7,4295,5518,29,1,196.33333333333331,577.6988835024697
2775,344,13,2854,6177,29,1,192.33333333333331,42.579337712087536
2490,79,9,878,4184,18,1,193.33333333333331,240.3518254559345
3106,228,18,5984,1655,29,1,213.66666666666663,666.8043191221844
2831,284,24,5208,4611,24,1,199.66666666666663,64.25729530566937
2837,112,8,3649,6221,12,1,198.0,272.47018185482244
2890,299,23,5104,4734,24,1,195.33333333333331,196.57314160383152
2824,135,5,3583,6316,20,1,203.0,218.08255317654368
2728,135,3,2250,5515,12,1,204.0,244.10653411983876
2962,88,16,6095,3811,24,1,183.0,191.38704240360684
3142,220,11,6216,1989,29,1,212.33333333333331,429.5776996074168
2847,2,6,3757,6194,20,1,198.33333333333331,175.28548142958104
2536,34,5,1242,4201,18,1,197.66666666666663,242.52834885843757
3168,95,6,4884,1239,29,1,198.66666666666663,30.0
2926,289,24,5126,4814,24,1,197.66666666666663,232.16588896735024
2893,21,6,4106,5865,12,1,197.0,297.18849237478895
2687,20,11,1986,4936,12,1,189.66666666666663,154.98709623707387
3109,211,17,6089,2017,29,1,213.0,427.55233597771394
3119,200,20,6297,2377,29,1,211.0,60.0
2916,349,10,4472,5502,29,1,195.0,489.3260671576776
2795,18,3,3042,6073,12,1,201.0,218.66183937761065
2555,58,14,1231,4159,18,1,182.66666666666663,285.63263118908526
2499,42,13,953,3950,18,1,185.66666666666663,497.0492933301485
3027,173,11,5678,1900,29,1,207.0,337.62257033557455
3096,160,15,6156,2310,29,1,203.66666666666663,86.49277426467485
2916,105,13,5618,4417,29,1,191.0,282.39157211220027
2591,42,12,1398,4224,29,1,186.66666666666663,350.69074695520555
3185,328,16,4763,1392,29,1,192.33333333333331,127.66362050325849
3021,221,10,5675,1937,29,1,211.66666666666663,326.33878102364724
3083,257,4,6363,2873,29,1,207.33333333333331,510.6123774449656
2860,276,33,5292,4759,24,1,193.66666666666663,68.47627326307996
3008,196,15,5535,1924,23,1,210.66666666666663,228.87551201471948
3034,189,14,5754,2012,29,1,210.0,389.6305942813013
2873,130,16,4030,6091,30,1,194.66666666666663,68.8839603971781
3182,49,13,4767,1513,29,1,184.66666666666663,319.0767932645682
2998,102,12,6026,4121,29,1,192.66666666666663,415.234873294621
2658,357,20,1597,4286,29,1,177.33333333333337,304.8212591011329
3175,15,7,4816,1584,29,1,196.33333333333331,377.385744298854
2952,8,7,4953,5192,20,1,197.0,503.7549007205786
2622,95,12,1329,4086,29,1,191.0,485.5687386972106
2955,288,21,5224,4968,24,1,201.33333333333331,278.19597409020855
2837,66,9,3655,6341,20,1,191.33333333333331,202.3116407921205
3182,45,3,4723,1661,29,1,200.33333333333331,470.791886081313
